timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
12020393,-1291,2131,-995,1716,2209,127
12020403,-1163,2203,-855,1030,2007,957
12020413,-1108,2457,-762,255,1607,1716
12020423,-1056,2765,-661,-487,1107,2493
12020433,-1026,3071,-503,-1098,546,3262
12020443,-953,3195,-178,-1449,-114,3997
12020453,-899,3248,101,-1756,-987,4795
12020463,-996,3117,330,-1879,-2077,5478
12020473,-1184,3010,546,-1878,-3324,5994
12020483,-1455,2974,533,-1881,-4391,6147
12020479,-1455,2974,534,-1881,-4391,6372
12020489,-1892,3139,278,-1535,-5106,6758
12020499,-2387,3275,-82,-944,-5396,7037
12020509,-2795,3114,-288,232,-5159,7118
12020519,-3021,2857,-342,1142,-4866,7116
12020529,-3216,2688,-402,1978,-4610,7102
12020539,-3524,2307,-474,2683,-4554,7148
12020549,-3798,1995,-632,3105,-4631,7086
12020559,-4053,1789,-822,3209,-4742,7029
12020569,-4214,1477,-960,3239,-4730,6962
12020579,-4283,1235,-1057,3196,-4512,6961
12020589,-4247,883,-1045,3315,-4129,6976
12020599,-4090,297,-961,3692,-3678,7101
12020609,-3977,-253,-1025,3789,-3375,7199
12020619,-3911,-830,-1171,4003,-3210,7087
12020629,-3834,-1250,-1451,4139,-2951,6775
12020639,-3765,-1586,-1692,4236,-2495,6212
12020649,-3541,-1900,-1892,4507,-1804,5352
12020659,-3068,-1983,-2115,4238,-1231,4485
12020669,-3139,-1885,-2418,4399,-1085,3632
12020679,-2756,-1566,-2454,3973,-786,2478
12020689,-2492,-1633,-2340,4210,-271,1704
12020699,-2269,-1780,-2277,4118,-15,1282
12020709,-2170,-1988,-2323,3670,21,948
12020719,-2103,-1969,-2503,2961,63,715
12020729,-1955,-2022,-2458,2383,268,512
12020726,-1955,-2023,-2458,2383,268,586
12020736,-1862,-1960,-2522,1784,430,503
12020746,-1721,-1823,-2504,1240,540,324
12020756,-1586,-1754,-2362,949,663,66
12020766,-1377,-1321,-2267,663,935,-333
12020776,-1333,-1218,-2079,968,1181,-727
12020786,-1062,-1023,-1749,1167,1305,-1262
